Date,Open,High,Low,Close
2022/9/8,154.639999,156.360001,152.679993,154.460007
2022/9/9,155.470001,157.820007,154.75,157.369995
2022/9/12,159.589996,164.259995,159.300003,163.429993
2022/9/13,159.899994,160.539993,153.369995,153.839996
2022/9/14,154.789993,157.100006,153.610001,155.309998
2022/9/15,154.649994,155.240005,151.380005,152.369995
2022/9/16,151.210007,151.350006,148.369995,150.699997
2022/9/19,149.309998,154.559998,149.100006,154.479996
2022/9/20,153.399994,158.080002,153.080002,156.899994
2022/9/21,157.339996,158.740005,153.600006,153.720001
2022/9/22,152.380005,154.470001,150.910004,152.740005
2022/9/23,151.190002,151.470001,148.559998,150.429993
2022/9/26,149.660004,153.770004,149.639999,150.770004
2022/9/27,152.740005,154.720001,149.949997,151.759995
2022/9/28,147.639999,150.639999,144.839996,149.839996
2022/9/29,146.100006,146.720001,140.679993,142.479996
2022/9/30,141.279999,143.100006,138,138.199997
2022/10/3,138.210007,143.070007,137.690002,142.449997
2022/10/4,145.029999,146.220001,144.259995,146.100006
2022/10/5,144.070007,147.380005,143.009995,146.399994
2022/10/6,145.809998,147.539993,145.220001,145.429993
2022/10/7,142.539993,143.100006,139.449997,140.089996
2022/10/10,140.419998,141.889999,138.570007,140.419998
2022/10/11,139.899994,141.350006,138.220001,138.979996
2022/10/12,139.130005,140.360001,138.160004,138.339996
2022/10/13,134.990005,143.589996,134.369995,142.990005
2022/10/14,144.309998,144.520004,138.190002,138.380005
2022/10/17,141.070007,142.899994,140.270004,142.410004
2022/10/18,145.490005,146.699997,140.610001,143.75
2022/10/19,141.690002,144.949997,141.5,143.860001
2022/10/20,143.020004,145.889999,142.649994,143.389999
2022/10/21,142.869995,147.850006,142.649994,147.270004
2022/10/24,147.190002,150.229996,146,149.449997
2022/10/25,150.089996,152.490005,149.360001,152.339996
2022/10/26,150.960007,151.990005,148.039993,149.350006
2022/10/27,148.070007,149.050003,144.130005,144.800003
2022/10/28,148.199997,157.5,147.820007,155.740005
2022/10/31,153.160004,154.240005,151.919998,153.339996
2022/11/1,155.080002,155.449997,149.130005,150.649994
2022/11/2,148.949997,152.169998,145,145.029999
2022/11/3,142.059998,142.800003,138.75,138.880005
2022/11/4,142.089996,142.669998,134.380005,138.380005
2022/11/7,137.110001,139.149994,135.669998,138.919998
2022/11/8,140.410004,141.429993,137.490005,139.5
2022/11/9,138.5,138.550003,134.589996,134.869995
2022/11/10,141.240005,146.869995,139.5,146.869995
2022/11/11,145.820007,150.009995,144.369995,149.699997
2022/11/14,148.970001,150.279999,147.429993,148.279999
2022/11/15,152.220001,153.589996,148.559998,150.039993
2022/11/16,149.130005,149.869995,147.289993,148.789993
2022/11/17,146.429993,151.479996,146.149994,150.720001
2022/11/18,152.309998,152.699997,149.970001,151.289993
2022/11/21,150.160004,150.369995,147.720001,148.009995
2022/11/22,148.130005,150.419998,146.929993,150.179993
2022/11/23,149.449997,151.830002,149.339996,151.070007
2022/11/25,148.309998,148.880005,147.119995,148.110001
2022/11/28,145.139999,146.639999,143.380005,144.220001
2022/11/29,144.289993,144.809998,140.350006,141.169998
2022/11/30,141.399994,148.720001,140.550003,148.029999
2022/12/1,148.210007,149.130005,146.610001,148.309998
2022/12/2,145.960007,148,145.649994,147.809998
2022/12/5,147.770004,150.919998,145.770004,146.630005
2022/12/6,147.070007,147.300003,141.919998,142.910004
2022/12/7,142.190002,143.369995,140,140.940002
2022/12/8,142.360001,143.520004,141.100006,142.649994
2022/12/9,142.339996,145.570007,140.899994,142.160004
2022/12/12,142.699997,144.5,141.059998,144.490005
2022/12/13,149.5,149.970001,144.240005,145.470001
2022/12/14,145.350006,146.660004,141.160004,143.210007
